SNo,SPP,Block,ICR,Inv,SMB,Tags,FieldSCBName
82,Phelan,PH,ICR02,INV02,SCB09,ITC2_INV2_CT9_A,ICR02_INV02_SCB07
83,Phelan,PH,ICR02,INV02,SCB10,ITC2_INV2_CT10_A,ICR02_INV02_SCB08
84,Phelan,PH,ICR02,INV02,SCB11,ITC2_INV2_CT11_A,ICR02_INV02_SCB09
85,Phelan,PH,ICR02,INV02,SCB12,ITC2_INV2_CT12_A,ICR02_INV02_SCB10
86,Phelan,PH,ICR02,INV02,SCB15,ITC2_INV2_CT15_A,ICR02_INV02_SCB11
87,Phelan,PH,ICR02,INV02,SCB16,ITC2_INV2_CT16_A,ICR02_INV02_SCB12
88,Phelan,PH,ICR02,INV02,SCB17,ITC2_INV2_CT17_A,ICR02_INV02_SCB13
89,Phelan,PH,ICR02,INV02,SCB18,ITC2_INV2_CT18_A,ICR02_INV02_SCB14
90,Phelan,PH,ICR02,INV02,SCB19,ITC2_INV2_CT19_A,ICR02_INV02_SCB15
91,Phelan,PH,ICR02,INV03,SCB01,ITC2_INV3_CT1_A,ICR02_INV03_SCB01
92,Phelan,PH,ICR02,INV03,SCB02,ITC2_INV3_CT2_A,ICR02_INV03_SCB02
93,Phelan,PH,ICR02,INV03,SCB03,ITC2_INV3_CT3_A,ICR02_INV03_SCB03
94,Phelan,PH,ICR02,INV03,SCB04,ITC2_INV3_CT4_A,ICR02_INV03_SCB04
95,Phelan,PH,ICR02,INV03,SCB05,ITC2_INV3_CT5_A,ICR02_INV03_SCB05
96,Phelan,PH,ICR02,INV03,SCB08,ITC2_INV3_CT8_A,ICR02_INV03_SCB06
97,Phelan,PH,ICR02,INV03,SCB09,ITC2_INV3_CT9_A,ICR02_INV03_SCB07
98,Phelan,PH,ICR02,INV03,SCB10,ITC2_INV3_CT10_A,ICR02_INV03_SCB08
99,Phelan,PH,ICR02,INV03,SCB11,ITC2_INV3_CT11_A,ICR02_INV03_SCB09
100,Phelan,PH,ICR02,INV03,SCB12,ITC2_INV3_CT12_A,ICR02_INV03_SCB10
101,Phelan,PH,ICR02,INV03,SCB15,ITC2_INV3_CT15_A,ICR02_INV03_SCB11
102,Phelan,PH,ICR02,INV03,SCB16,ITC2_INV3_CT16_A,ICR02_INV03_SCB12
103,Phelan,PH,ICR02,INV03,SCB17,ITC2_INV3_CT17_A,ICR02_INV03_SCB13
104,Phelan,PH,ICR02,INV03,SCB18,ITC2_INV3_CT18_A,ICR02_INV03_SCB14
105,Phelan,PH,ICR02,INV03,SCB19,ITC2_INV3_CT19_A,ICR02_INV03_SCB15
106,Phelan,PH,ICR02,INV04,SCB01,ITC2_INV4_CT1_A,ICR02_INV04_SCB01
107,Phelan,PH,ICR02,INV04,SCB02,ITC2_INV4_CT2_A,ICR02_INV04_SCB02
108,Phelan,PH,ICR02,INV04,SCB03,ITC2_INV4_CT3_A,ICR02_INV04_SCB03
109,Phelan,PH,ICR02,INV04,SCB04,ITC2_INV4_CT4_A,ICR02_INV04_SCB04
110,Phelan,PH,ICR02,INV04,SCB05,ITC2_INV4_CT5_A,ICR02_INV04_SCB05
111,Phelan,PH,ICR02,INV04,SCB08,ITC2_INV4_CT8_A,ICR02_INV04_SCB06
112,Phelan,PH,ICR02,INV04,SCB09,ITC2_INV4_CT9_A,ICR02_INV04_SCB07
113,Phelan,PH,ICR02,INV04,SCB10,ITC2_INV4_CT10_A,ICR02_INV04_SCB08
114,Phelan,PH,ICR02,INV04,SCB11,ITC2_INV4_CT11_A,ICR02_INV04_SCB09
115,Phelan,PH,ICR02,INV04,SCB12,ITC2_INV4_CT12_A,ICR02_INV04_SCB10
116,Phelan,PH,ICR02,INV04,SCB15,ITC2_INV4_CT15_A,ICR02_INV04_SCB11
117,Phelan,PH,ICR02,INV04,SCB16,ITC2_INV4_CT16_A,ICR02_INV04_SCB12
